,Timestamp,Device,Energy
0,2024-03-01 00:00:00,TV,0.13499999999999998
1,2024-03-01 00:05:00,TV,0.01875
2,2024-03-01 00:10:00,TV,0.01875
3,2024-03-01 00:15:00,TV,0.18375
4,2024-03-01 00:20:00,TV,0.17624999999999996
5,2024-03-01 00:25:00,TV,0.11624999999999999
6,2024-03-01 00:30:00,TV,0.0075
7,2024-03-01 00:35:00,TV,0.18375
8,2024-03-01 00:40:00,TV,0.048749999999999995
9,2024-03-01 00:45:00,TV,0.10874999999999999
10,2024-03-01 00:50:00,TV,0.09749999999999999
11,2024-03-01 00:55:00,TV,0.07125
12,2024-03-01 01:00:00,TV,0.17250000000000001
13,2024-03-01 01:05:00,TV,0.13874999999999998
14,2024-03-01 01:10:00,TV,0.052500000000000005
15,2024-03-01 01:15:00,TV,0.1275
16,2024-03-01 01:20:00,TV,0.13499999999999998
17,2024-03-01 01:25:00,TV,0.15
18,2024-03-01 01:30:00,TV,0.056249999999999994
19,2024-03-01 01:35:00,TV,0.10874999999999999
20,2024-03-01 01:40:00,TV,0.15375
21,2024-03-01 01:45:00,TV,0.16125
22,2024-03-01 01:50:00,TV,0.01125
23,2024-03-01 01:55:00,TV,0.00375
24,2024-03-01 02:00:00,TV,0.07125
25,2024-03-01 02:05:00,TV,0.056249999999999994
26,2024-03-01 02:10:00,TV,0.06749999999999999
27,2024-03-01 02:15:00,TV,0.0075
28,2024-03-01 02:20:00,TV,0.03
29,2024-03-01 02:25:00,TV,0.045
30,2024-03-01 02:30:00,TV,0.15375
31,2024-03-01 02:35:00,TV,0.07125
32,2024-03-01 02:40:00,TV,0.056249999999999994
33,2024-03-01 02:45:00,TV,0.11624999999999999
34,2024-03-01 02:50:00,TV,0.075
35,2024-03-01 02:55:00,TV,0.07125
36,2024-03-01 03:00:00,TV,0.03
37,2024-03-01 03:05:00,TV,0.15749999999999997
38,2024-03-01 03:10:00,TV,0.17250000000000001
39,2024-03-01 03:15:00,TV,0.1425
40,2024-03-01 03:20:00,TV,0.09375
41,2024-03-01 03:25:00,TV,0.17624999999999996
42,2024-03-01 03:30:00,TV,0.033749999999999995
43,2024-03-01 03:35:00,TV,0.0375
44,2024-03-01 03:40:00,TV,0.07874999999999999
45,2024-03-01 03:45:00,TV,0.16499999999999998
46,2024-03-01 03:50:00,TV,0.17250000000000001
47,2024-03-01 03:55:00,TV,0.18375
48,2024-03-01 04:00:00,TV,0.15
49,2024-03-01 04:05:00,TV,0.06
50,2024-03-01 04:10:00,TV,0.0
51,2024-03-01 04:15:00,TV,0.00375
52,2024-03-01 04:20:00,TV,0.07874999999999999
53,2024-03-01 04:25:00,TV,0.13874999999999998
54,2024-03-01 04:30:00,TV,0.10874999999999999
55,2024-03-01 04:35:00,TV,0.03
56,2024-03-01 04:40:00,TV,0.10125
57,2024-03-01 04:45:00,TV,0.14625
58,2024-03-01 04:50:00,TV,0.14625
59,2024-03-01 04:55:00,TV,0.17250000000000001
60,2024-03-01 05:00:00,TV,0.1275
61,2024-03-01 05:05:00,TV,0.16874999999999998
62,2024-03-01 05:10:00,TV,0.12375
63,2024-03-01 05:15:00,TV,0.041249999999999995
64,2024-03-01 05:20:00,TV,0.045
65,2024-03-01 05:25:00,TV,0.01125
66,2024-03-01 05:30:00,TV,0.14625
67,2024-03-01 05:35:00,TV,0.16125
68,2024-03-01 05:40:00,TV,0.12375
69,2024-03-01 05:45:00,TV,0.056249999999999994
70,2024-03-01 05:50:00,TV,0.09749999999999999
71,2024-03-01 05:55:00,TV,0.0225
72,2024-03-01 06:00:00,TV,0.06
73,2024-03-01 06:05:00,TV,0.06749999999999999
74,2024-03-01 06:10:00,TV,0.056249999999999994
75,2024-03-01 06:15:00,TV,0.03
76,2024-03-01 06:20:00,TV,0.09375
77,2024-03-01 06:25:00,TV,0.052500000000000005
78,2024-03-01 06:30:00,TV,0.09375
79,2024-03-01 06:35:00,TV,0.16499999999999998
80,2024-03-01 06:40:00,TV,0.06
81,2024-03-01 06:45:00,TV,0.052500000000000005
82,2024-03-01 06:50:00,TV,0.12
83,2024-03-01 06:55:00,TV,0.1425
84,2024-03-01 07:00:00,TV,0.15749999999999997
85,2024-03-01 07:05:00,TV,0.06
86,2024-03-01 07:10:00,TV,0.06749999999999999
87,2024-03-01 07:15:00,TV,0.0075
88,2024-03-01 07:20:00,TV,0.17624999999999996
89,2024-03-01 07:25:00,TV,0.01875
90,2024-03-01 07:30:00,TV,0.16125
91,2024-03-01 07:35:00,TV,0.12375
92,2024-03-01 07:40:00,TV,0.18
93,2024-03-01 07:45:00,TV,0.03
94,2024-03-01 07:50:00,TV,0.01875
95,2024-03-01 07:55:00,TV,0.08625000000000001
96,2024-03-01 08:00:00,TV,0.0375
97,2024-03-01 08:05:00,TV,0.17624999999999996
98,2024-03-01 08:10:00,TV,0.11249999999999999
99,2024-03-01 08:15:00,TV,0.08625000000000001
100,2024-03-01 08:20:00,TV,0.01125
101,2024-03-01 08:25:00,TV,0.015
102,2024-03-01 08:30:00,TV,0.09375
103,2024-03-01 08:35:00,TV,0.09749999999999999
104,2024-03-01 08:40:00,TV,0.15
105,2024-03-01 08:45:00,TV,0.06375
106,2024-03-01 08:50:00,TV,0.14625
107,2024-03-01 08:55:00,TV,0.15
